YearID,Player,Position,Amateur Type,Team Rank,Rank in Organization,Highest Level Played,WAR
2011,Dallas Keuchel,Pitcher,4Yr,26,23,AA,12
2012,Dallas Keuchel,Pitcher,4Yr,17,21,AAA,14.2
2001,Ted Lilly,Pitcher,JC,7,18,MLB,10.4
2013,Kevin Pillar,Position Player,4Yr,12,21,A+,10.3
2014,Kevin Pillar,Position Player,4Yr,15,20,MLB,11.9
2002,Dontrelle Willis,Pitcher,HS,1,21,A-,20.8
2002,Matt Holliday,Position Player,HS,24,11,A+,14.3
2003,Matt Holliday,Position Player,HS,25,16,AA,20.2
2007,Geovany Soto,Position Player,HS,18,17,MLB,13.8
2006,Geovany Soto,Position Player,HS,15,16,MLB,12.6
2003,Chone Figgins,Position Player,HS,5,28,MLB,15.8
2007,Carlos Ruiz,Position Player,INTL,21,13,MLB,14.4
2011,Tyler Flowers,Position Player,JC,27,17,MLB,11
2009,Alex Avila,Position Player,4Yr,28,20,A,10.8
2004,Josh Johnson,Pitcher,HS,14,24,A,10.8
2005,Josh Johnson,Pitcher,HS,14,11,A+,16.4
2007,Austin Jackson,Position Player,HS,7,18,A,11.7
2015,Max Kepler,Position Player,INTL,2,12,A+,10.8
2004,Russell Martin,Position Player,JC,2,18,A,18.9
2006,Josh Willingham,Position Player,4Yr,2,11,MLB,13.3
2003,Brian McCann,Position Player,HS,2,28,Rk,14.9
2007,Denard Span,Position Player,HS,8,13,AA,15.1
2008,Denard Span,Position Player,HS,18,20,AAA,18.3
2005,Denard Span,Position Player,HS,4,14,A,10
2005,Yovani Gallardo,Pitcher,HS,3,16,A,11.5
2001,Erik Bedard,Pitcher,JC,27,19,A,10.5
2015,Tommy Pham,Position Player,HS,15,15,MLB,15.5
2014,Tommy Pham,Position Player,HS,7,23,AAA,15.6
2006,Dan Uggla,Position Player,4Yr,2,29,AA,20.3
2003,Curtis Granderson,Position Player,4Yr,12,18,A-,17.2
2007,Justin Masterson,Pitcher,4Yr,9,13,A-,12.2
2014,Dellin Betances,Pitcher,HS,18,26,MLB,11.3
2013,Dellin Betances,Pitcher,HS,11,19,MLB,11.2
2004,Chien-Ming Wang,Pitcher,INTL,27,12,AA,10.4
2005,Andre Ethier,Position Player,4Yr,8,16,A+,11.2
2011,Corey Kluber,Pitcher,4Yr,7,26,AAA,21.4
2013,Travis Shaw,Position Player,4Yr,6,23,AA,10
2004,Zach Duke,Pitcher,HS,11,15,A,12.6
2011,Kevin Kiermaier,,JC,3,26,Rk,11.1
2011,Jose Altuve,,INTL,26,28,A+,19
2001,Aaron Harang,,4Yr,11,27,A+,12.2
2002,Aaron Harang,,4Yr,19,16,AA,17
2001,Brandon Webb,,4Yr,29,27,A,16.8
2002,Brandon Webb,,4Yr,23,26,A+,22.4
2001,Brian Lawrence,,4Yr,8,11,AAA,11.3
2011,Brian Dozier,,4Yr,13,30,A+,16.4
2004,Jayson Werth,,HS,8,17,MLB,16.6
2007,Josh Hamilton,,HS,12,30,AA,25.2
2013,Corey Dickerson,,JC,20,13,AA,10.5
2004,Chris Young,,4Yr,30,19,AA,12.1
2005,Ben Zobrist,,4Yr,22,16,A-,12.1
2006,Ben Zobrist,,4Yr,20,16,A+,18.5
2001,Travis Hafner,,JC,13,12,A+,16.1
2002,Travis Hafner,,JC,8,16,AA,18.3
2001,Mark Ellis,,4Yr,11,17,AA,10.7
2008,Jonathan Lucroy,,4Yr,21,16,Rk,22.4
2013,Collin McHugh,,4Yr,26,24,MLB,11.4
2013,Jake deGrom,,4Yr,26,11,A+,26.2
2003,Mark Hendrickson,,4Yr,6,13,MLB,10.5
2005,Luke Scott,,4Yr,22,17,AA,11.1
2006,Luke Scott,,4Yr,20,15,MLB,11.3
2012,Charlie Blackmon,,4Yr,16,11,MLB,16.9
2014,Cody Bellinger,,HS,14,14,Rk,15.4
2015,Cody Bellinger,,HS,3,20,Rk,16.6
2013,Yan Gomes,,4Yr,24,27,MLB,13.6
2006,Pablo Sandoval,,INTL,18,15,A-,12.6
2009,Ryan Hanigan,,4Yr,14,16,MLB,16.5
2006,Brett Gardner,,4Yr,17,13,A-,14.7
2009,Brett Gardner,,4Yr,15,13,MLB,20.6
2001,Morgan Ensberg,,4Yr,10,15,MLB,15.4
2011,Noah Syndergaard,,HS,4,24,Rk,10
2011,Andrelton Simmons,,JC,2,15,Rk,12.8
2010,Neil Walker,,HS,16,26,MLB,15.9
2010,Paul Goldschmidt,,4Yr,27,13,Rk,20.9
2011,Paul Goldschmidt,,4Yr,22,11,A+,25.8
2013,Jose Ramirez,,INTL,24,23,A,21
2004,Scott Baker,,4Yr,5,19,A,10.7
2003,Jason Bay,,4Yr,20,12,AA,15.9
2008,Ian Desmond,,HS,9,14,AA,10.7
2009,Ian Desmond,,HS,21,19,AA,14.8
2010,Kenley Jansen,,INTL,24,14,AAA,10.9
2003,Matt Cain,,HS,11,11,Rk,11.8
2013,Robbie Ray,,HS,16,18,A+,10.2
2015,Robbie Ray,,HS,6,11,MLB,11.8
2015,Lance McCullers,,HS,10,11,A+,10.7
2014,Ketel Marte,,INTL,25,20,A+,11.6
2012,Kole Calhoun,,4Yr,18,20,A+,13.1
2013,Kole Calhoun,,4Yr,30,11,MLB,13.1
2008,Will Venable,,4Yr,12,15,AA,11.5
2005,Mike Napoli,,HS,1,29,A+,10
2006,Mike Napoli,,HS,3,11,AA,14.3
2003,Covelli Crisp,,JC,1,26,MLB,16.8
2002,Covelli Crisp,,JC,30,18,A+,15.2
2010,Kyle Seager,,4Yr,11,30,A+,17.6
2008,Mike Stanton,,HS,14,11,A-,14.7
2003,David Bush,,4Yr,6,14,A+,10.1
2007,Asdrubal Cabrera,,INTL,10,15,AAA,12.2
2015,Trevor Story,,HS,8,12,AA,17.9
2006,C.J. Wilson,,4Yr,16,14,MLB,11.2
2002,Ryan Howard,,4Yr,11,15,A-,11.6
2004,Jonathan Papelbon,,4Yr,23,14,A-,10.2
2003,Nick Swisher,,4Yr,22,11,A+,11.2
2011,Matt Carpenter,,4Yr,24,11,AA,20.5
2012,Matt Carpenter,,4Yr,12,12,MLB,23.8
2005,Shane Victorino,,HS,20,19,MLB,16.4
2006,Shane Victorino,,HS,22,14,MLB,21.9
2002,Rich Harden,,JC,19,21,A-,10.2
2014,Blake Snell,,HS,20,14,A,11.1
2011,Adam Eaton,,4Yr,22,30,Rk,14.6
2012,Adam Eaton,,4Yr,4,12,AA,15.1
2014,Kyle Hendricks,,4Yr,4,11,AAA,18
2012,Josh Donaldson,,4Yr,26,20,MLB,35.6
2011,Josh Donaldson,,4Yr,28,12,MLB,30.5
2009,Josh Donaldson,,4Yr,3,13,A+,13.9
2010,Josh Donaldson,,4Yr,12,14,AA,22.6
2005,Ricky Nolasco,,HS,10,19,AAA,11.9
2003,David DeJesus,,4Yr,26,19,AA,13.6
2006,Jamie Shields,,HS,10,12,AAA,20.3
2005,Freddy Sanchez,,4Yr,18,13,MLB,14.9
2013,Khris Davis,,4Yr,22,16,AAA,11.5
2014,Mike Clevinger,,JC,30,17,A,10.8
2015,Mike Clevinger,,JC,23,22,A+,11.5
2003,Bill Hall,,HS,16,18,MLB,10.7
2015,Odubel Herrera,,INTL,22,12,AA,10.9
2012,Odubel Herrera,,INTL,2,27,A,10.4
2001,A.J. Pierzynski,,HS,15,18,MLB,11.4
2015,German Marquez,,INTL,17,25,A,13.3
